"";"tratamentos";"Ceriodaphnia";"Moina";"Dunhevedia";"Leydigia";"Ephemeroporus";"Cyclopoid";"Calanoid";"OstracodsA";"OstracodsB";"OstracodsC";"OstracodsD";"OstracodsE";"OstracodsF";"conchostraca";"Streptocephalus"
"1";"Control_1_ab_high_2";20,56;59,03;17,08;0;3,06;38,06;0;13,75;0,42;0;0;0,14;0;0;0
"2";"Control_2_ab_high_2";0,33;22,33;0,17;0;0;13,83;0,17;49,5;0,17;0,67;0;0;0,33;0;0
"3";"Control_3_ab_high_2";0;0;0;0;0;3,09;0;15,63;0;1,2;0;0;0,34;0;0,17
"4";"Control_4_ab_high_2";0;94,44;0;0;0;6,97;0;2,62;0;0;0;0;0;0;0,15
"5";"Control_5_ab_high_2";2,87;100,51;0;0;0;13,1;0,18;12,03;0;0;0;0;0;0;0
"6";"B_6_ab_high_2";0;11,55;6,6;0;0,18;11,55;0;28,05;0,18;0;0;0;1,1;0,37;0,18
"7";"B_7_ab_high_2";0;155,95;1,39;0;0,4;29,76;0;80,36;0,4;2,38;0,99;0,2;0,2;0;0,2
"8";"B_8_ab_high_2";0;79,5;0;0;0;12,67;0;7,5;0;0,5;0;0;0,33;0;0
"9";"B_9_ab_high_2";0;2;0;0;0;5,17;0;3,67;0;0;0;0;0,17;0;0
"10";"B_10_ab_high_2";0;0,45;0,15;0;0;5,91;0;81,36;0;3,33;0;0,15;0,3;0;0
"11";"E_11_ab_high_2";0;84,33;1,57;0;0,87;8,9;0;37,89;0;0,35;0;0;0,35;0;0
"12";"E_12_ab_high_2";0;100,17;2,33;15,33;1;35;0;14,17;0,17;0;0;0;0;0;0,17
"13";"E_13_ab_high_2";0;50,83;1,5;0;1;31,83;0;14,17;0,17;0;0;0;0,17;0;0,33
"14";"E_14_ab_high_2";0;35,86;0,25;0;0,51;2,78;0;14,9;0;0;0;0;0;0;0
"15";"G_15_ab_high_2";0;257,66;0;0;0;17,89;0;21,07;0;0;0;0;0;0;0,18
"16";"G_16_ab_high_2";0;222,96;0;0;0;17,59;0;13,89;0,37;1,85;0;0;0,56;0;0,93
"17";"G_17_ab_high_2";0;0,48;0;0,16;0;2,06;0;4,92;0;0;0;0;0;0,16;0,16
"18";"G_18_ab_high_2";0;0,5;0;0;0;3,5;0;30,67;0;0;0;0;0,33;0;0,67
"19";"G_19_ab_high_2";0;27,48;0,17;0,17;0,17;5,22;0;10,61;0;0;0;0;0;0;0,17
"20";"I_20_ab_high_2";0;273,05;0;0;0;14,35;0;13,76;0;0,2;0;0;0,2;0;0
"21";"I_21_ab_high_2";0;307,8;0;0;0;9,37;0;9,94;0;0;0;0;0;0;0,28
"22";"I_22_ab_high_2";0,19;0;0;0;0;8,7;0;25,74;0;1,48;0;0,56;0,56;0;0,19
"23";"I_23_ab_high_2";0;0;0;0;0;24,44;0;19,17;0;0;0;0;0;0;0
"24";"I_24_ab_high_2";0;345,43;4,03;0;0,5;16,14;0;77,41;0;6,81;0,76;1,26;0,5;0;0,5
"25";"Z_25_ab_high_2";0;27,73;20,68;0;2,5;8,18;0;16,59;0,23;0;0;0;0,23;0;0
"26";"Z_26_ab_high_2";0;1,04;0;0;0;20;0;54,38;0;1,04;0;0,42;0,63;0;0,63
"27";"Z_27_ab_high_2";0;290,96;5,04;0;0;60,74;0;35,56;0;0;0;0;0;0;0
"28";"Z_28_ab_high_2";0;285,64;0,86;0;0,21;45,86;0;35,14;0;1,5;0;0;0,21;0;0,43
"29";"Z_29_ab_high_2";0;0,83;0;0;0;12,5;0;44;0,17;1,67;0;0;0,5;0;0,67
